    A Google+ group,,,,,,,,,,,,"no, I was glad to join",,,,,,
    A LinkedIn group,,,,,,,,,,,,,,,,,,
    ,,,,,,,,,,,,,,,,,,
** TA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Did the TA have a good command of the material?,,,,,,,,,,,,who?,,,,,,
Was the TA helpful?,,,,,,,,,,,,"If you mean Evan, he was extremely helpful and friendly.",,,,,,
Did the TA care about your success?,,,,,,,,,,,,Completely,,,,,,
Did you find the resources helpful?,,,,,,,,,,,,yes,,,,,,
,,,,,,,,,,,,,,,,,,
** Forms,,,,,,,,,,,,,,,,,,
Do you understand why you had to fill out a Customer Information Form (Workforce 1 form about demographics employment status and work history)?,,,,,,,,,,,,yes,,,,,,
,,,,,,,,,,,,,,,,,,
Do you understand why you had to sign the Individual Photo Release Form?,,,,,,,,,,,,yes,,,,,,
,,,,,,,,,,,,,,,,,,
Do you understand why you had to sign that you received a copy of the Policies & Procedures Handbook and that you understood it?,,,,,,,,,,,,yes,,,,,,
,,,,,,,,,,,,,,,,,,
Do you understand why you had to sign a form saying you read understood and agree that you are an eligible applicant for the TTP?,,,,,,,,,,,,yes,,,,,,
,,,,,,,,,,,,,,,,,,
5 Most complaints.....1 no bother at all,,,,,,,,,,,,,,,,,,
'============================================================================================================,,,,,,,,,,,,,,,,,,
Do you have any complaints about the process of filling out these forms? ,,,,,,,,,,,,4,We could have used the first day for form filling and a form preparation class and to take care of the stragglers instead of stoping class it would have been better just to call them outside.,,,,,
Do you have any complaints bout how long it took?,,,,,,,,,,,,1,,,,,,
Do you have any complaints about how organized it was?,,,,,,,,,,,,3,It's understandable that this training was a first to a lot of us and maybe military organization got me jaded.,,,,,
Do you resent signing any of this forms?,,,,,,,,,,,,1,,,,,,
,,,,,,,,,,,,,,,,,,
Do you understand why we have a code of conduct?,,,,,,,,,,,,yes,,,,,,
Do you understand why you can only work between 15 and 19 hours?,,,,,,,,,,,,yes,,,,,,
Do you understand that you cannot work more than 7 hours in a day? (PENDING),,,,,,,,,,,,yes,,,,,,
,,,,,,,,,,,,,,,,,,
Do you understand that you can only work during the week and only with a supervisor present?,,,,,,,,,,,,yes,,,,,,
Do you understand that you cannot work on weekends?,,,,,,,,,,,,yes,,,,,,
Do you understand that you cannot work from home or any remote location?,,,,,,,,,,,,yes,,,,,,
Do you understand that you can be terminated for reasons such as excessive lateness poor attendance and lack of professionalism?,,,,,,,,,,,,yes,,,,,,
Do you understand that you must set a schedule and set goals with your supervisor for the length of the program?,,,,,,,,,,,,yes,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
** Tech stack â€“-----5 â€“ understand/agree    â€_. 1 â€“ total mystery/outdated,,,,,,,,,,,,,,,,,,
'============================================================================================================,,,,,,,,,,,,,,,,,,
Do you know the tech stack of your host company?,,,,,,,,,,,,1,,,,,,
Do you feel that the tech stack of your host company is up to date?,,,,,,,,,,,,1,,,,,,
Do you know your supervisors name and contact information?,,,,,,,,,,,,5,,,,,,
,,,,,,,,,,,,,,,,,,
** Placement  ----5 totally psyched....1 nervous/unsure,,,,,,,,,,,,,,,,,,
'============================================================================================================,,,,,,,,,,,,,,,,,,
Do you have any concerns about your placement?,,,,,,,,,,,,2,,,,,,
Do you know who your supervisor is?,,,,,,,,,,,,5,,,,,,
,,,,,,,,,,,,,,,,,,
** Concerns,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
** Omitted Questions,,,,,,,,,,,,,,,,,,
Please let us know any other questions we should be asking,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
* Queens CS Experience --- 5 great â€_ 1 poor,,,,,,,,,,,,,,,,,,
'============================================================================================================,,,,,,,,,,,,,,,,,,
** Did you transfer? 1-Yes 2- No,,,,,,,,,,,,1,,,,,,
** Did you feel that you learned Java well?,,,,,,,,,,,,1,,,,,,
** Did you feel that you learned C++ well?,,,,,,,,,,,,1,,,,,,
** Did you feel that you know enough other languages?,,,,,,,,,,,,2,,,,,,
** Did you enjoy your time at Queens in CS?,,,,,,,,,,,,1,,,,,,
** Would you be interested in furthering your education in a formal CS MA/Phd program?,,,,,,,,,,,,1,,,,,,
** Did you work on any original research projects as a student at QC?,,,,,,,,,,,,2,,,,,,
** What was your favorite thing about your classes at QC?,,,,,,,,,,,,Great Teaching staff,,,,,,
** What did you feel helped you grow the most intellectually?,,,,,,,,,,,,life,,,,,,
** Did you feel the professors in CS treated you fairly?,,,,,,,,,,,,yes,,,,,,
** Do you think the full-time professors taught you more than the adjuncts?,,,,,,,,,,,,no,,,,,,
** Do you think the professors full time or adjunct were interested in your success?,,,,,,,,,,,,yes,,,,,,
** How easy was it to get access to tutoring/extra help at QC for CS?,,,,,,,,,,,,easy,,,,,,
** Was the tutoring useful provided by QC useful?,,,,,,,,,,,,yes,,,,,,
** Did you feel that the tutors were interested in your success?,,,,,,,,,,,,yes,,,,,,
** What did you enjoy most about QC CS?,,,,,,,,,,,,The treatment of veterans.,,,,,,
** What questions should have I asked but did not?,,,,,,,,,,,,The Computer Science department head helpfulness,,,,,,
,,,,,,,,,,,,Every meeting I had with the chairman of the computer science department has left me feeling like Queens college overall is not interested in my success. ,,,,,,
,,,,,,,,,,,,,,,,,,
I feel that freshman would benefit from including this in the CS curriculum â€“ 5 Highly useful â€_ 1 totally useless,,,,,,,,,,,,,,,,,,
'============================================================================================================,,,,,,,,,,,,,,,,,,
HTML,,,,,,,,,,,,3,,,,,,
CSS,,,,,,,,,,,,3,,,,,,
Terminal,,,,,,,,,,,,5,,,,,,
Git,,,,,,,,,,,,5,,,,,,
Collaborative Software Development,,,,,,,,,,,,5,,,,,,
Javascript,,,,,,,,,,,,4,,,,,,
Open Source Projects,,,,,,,,,,,,5,,,,,,
